FCCS_Code,FCCS_name,GENVEG
301,Fremont cottonwood-California sycamore forest,4
302,Willow / sedge grassland,1
303,Cottonwood / willow savanna,2
304,Engelmann spruce-subalpine fir / horsetail forest,4
305,Red alder forest,4
306,Knobcone pine forest,6
307,Paloverde shrubland,2
308,Low sagebrush shrubland,2
309,Blackbrush shrubland,2
310,Greasewood shrubland,2
311,Saltbush shrubland,2
312,Gambel oak / sagebrush shrubland,2
313,Mountain mahogany shrubland,2
314,Limber pine-bristlecone pine forest,6
315,Showy sedge-Black alpine sedge grassland,1
316,Coyotebush-ceanothus shrubland,2
317,Bigtooth maple forest,4
318,Bluejoint reedgrass-water sedge grassland,1
319,Pacific silver fir-Sitka alder forest,4
320,Western larch forest,4
321,Western hemlock-Alaska cedar forest,6
322,Sitka spruce-western hemlock forest,6
323,Trembling aspen / sagebrush boreal woodland,2
324,White spruce woodland,2
325,White spruce-mountain hemlock forest,6
326,Willow- birch shrubland,2
327,Marsh Labrador tea / cottongrass grassland,1
328,Hemlock / sedge-cottongrass savanna,1
329,Mountain heath tundra shrubland,2
330,American dunegrass grassland,1
331,Sitka alder-salmonberry shrubland,2
332,Balsam poplar-paper birch forest,4
333,Dryas tundra shrubland,2
334,Mountain heather tundra shrubland,2
335,Sweetgale shrubland,2
336,Lyngbye's sedge-alkaligrass grassland,1
337,Softstem bulrush-needle spikerush grassland,1
338,Water sedge-tall cottongrass grassland,1
339,Nootka lupine-sedge grassland,1
401,Holly-privet shrubland,2
402,Pine / holly-privet forest,6
403,Post oak-blackjack oak-white oak forest,4
404,Yellow poplar-sugar maple-basswood forest,4
405,Northern red oak montane forest,4
406,American beech-southern magnolia-oak forest,4
407,Darlington oak  forest,4
408,Quaking aspen-bur oak forest,4
409,Virginia pine-chestnut oak / little bluestem forest,4
410,Table Mountain pine-chestnut oak forest,4
411,Ashe juniper-oak savanna,2
412,Dwarf bilberry-bog blueberry shrubland,2
413,Pin oak / bluestem forest,4
414,Eastern redcedar / big bluestem savanna,2
415,Bluestem-forb grassland,1
416,Chinkapin oak-eastern redcedar / bluestem savanna,2
417,Little bluestem-blackseed speargrass grassland,1
418,White spruce / juniper / little bluestem savanna,2
419,Blackjack oak-post oak / bluestem savanna,2
420,Big bluestem-bluejoint grassland,1
421,Chinkapin oak-bur oak / giant cane forest,4
422,Post oak-shortleaf pine / bluestem-Indiangrass savanna,2
423,Oak / bluestem-Indiangrass savanna,2
424,Pondcypress / dahoon holly / sedge forest,4
425,Swamp tupelo-sweetbay magnolia forest,4
426,Sugarberry / acacia forest,4
427,Red spruce-northern white cedar-tamarack forest,4
428,Melaleuca forest,4
429,Black locust forest,4
430,White oak-southern red oak forest,4
431,Chinkapin oak-Shumard oak forest,4
432,Florida poisontree-West Indian mahogany forest,4
433,Pine-oak / American beachgrass savanna,2
434,Post oak-southern red oak / little bluestem-Indiangrass forest,4
435,Little bluestem-buffalograss grassland,1
436,Shore little bluestem-paspalum grassland,1
437,Saltmeadow cordgrass-switchgrass grassland,1
438,Pondcypress / pond apple forest,4
439,Pondcypress / swamp titi / maidencane savanna,2
440,Pondcypress-cabbage palm-strangler fig forest,4
441,Red maple-black ash / common winterberry forest,4
442,Bulrush grassland,1
443,Prairie cordgrass-bluejoint grassland,1
445,Woollyfruit sedge-yellow sedge grassland,1
448,Bald cypress-tupelo / swamp titi forest,4
449,Pin oak-white oak / buttonbush forest,4
450,Oak-Ashe juniper forest,4
451,Texas live oak / roughleaf dogwood forest,4
453,Bluestem-tall fescue-switchgrass grassland,1
454,American beech-maple / American red raspberry forest,4
455,Red pine forest,6
456,Chinese tallow tree forest,4
457,Florida strangler fig-gumbo limbo-cabbage palm forest,4
458,Berlandier's fiddlewood-Texas ebony shrubland,2
